,marketSegment,name,slug,ticker,totalSupply
0,Blockchain Network,Enecuum,enecuum,ENQ,203924941.756
1,Interoperability,Cosmos,cosmos,ATOM,0
2,Financial,ZeuxCoin,zeuxcoin,ZUC,750000000
3,Energy,Treelion,treelion,TRN,1000000000
4,Lending,Kava,kava,KAVA,325627134
5,,Synth sLINK,slink,sLINK,61278.144609
6,Lending,TrueFi,truefi-token,TRU,1441129427
7,Other,HyperExchange,hyperexchange,HX,90767835.7014
8,Trading,MargiX,margix,MGX,1000000000
9,Platform,EOS Force,eos-force,EOSC,1000000000
10,Cloud Storage,YottaChain,yottachain,YTA,4000000000
11,Stablecoin,Anchor,anchor,ANCT,759493671
12,,SEED Pool Token,pseed,pSEED,
13,Financial,AllianceBlock,allianceblock,ALBT,1000000000
14,Stablecoin,Euro Tether,tether-eurt,EURT,50001660.54
15,DeFi,0x Tracker,0xtracker,ZRT,
16,,X World Games,x-world-games,XWG,10000000000
17,,Electra Protocol,electra-protocol,XEP,17764656765
18,Other,7Eleven,7eleven,7E,1000000000000
19,Cryptocurrency,Yap Stone,yap-stone,YAP,1000000000
20,Cryptocurrency,Dash Cash,dash-cash,DSC,22657590.44
21,AI,Hintchain,hintchain,HINT,0
22,Financial,Azbit,azbit,AZ,69750302116.9
23,Sports,Project WITH,project-with,WIKEN,1057786429
24,Sports,Chiliz,chiliz,CHZ,8888888888
25,Cloud Computing,DeepCloud AI,deepcloud-ai,DEEP,200000000
26,,Mint Club,mint-club,MINT,1149363840000
27,DeFi,Pokeball,pokeball,POKE,4965992
28,,Uniswap V2: DAI-USDC,uniswap_dai_usdc_lp,UNI-V2 DAI-USDC LP,
29,,Uniswap V2: AAVE,uniswap_aave_eth_lp,UNI-V2 AAVE/ETH LP,
30,Social,Sessia,sessia,KICKS,100000000
31,Insurance,Polkacover,polkacover,CVR,137865569
32,Prediction Market,Helena,helena,HLN,
33,Exchange,Bitfex,bitfex,BFX,216525879
34,Stablecoin,HUSD,husd,HUSD,222593861.49423522
35,Stablecoin,Fei USD,fei-protocol,FEI,426116732.6917724
36,Advertising,DAD,dad-chain,DAD,1000000000
37,Cryptocurrency,MeconCash,meconcash,MCH,1000000000
38,Cryptocurrency,Helium ,helium,HNT,223000000
39,DeFi,Augmint,augmint,AUG,
40,,Uniswap V2: SNX,uniswap_snx_eth_lp,UNI-V2 SNX/ETH LP ,
41,Ethereum,Define,define,DFA,500000000
42,Cryptocurrency,MB8 Coin,mb8-coin,MB8,162318938.73964253
43,Cryptocurrency,ChronoCoin,chronocoin,CRN,5680000000
44,DeFi,Nitrogen Network,nitrogen,NGN,
45,DeFi,Totle,totle,TTL,
46,DeFi,Ash,ash,ASH,
47,Other,LINKA,linka,LINKA,2000000000
48,DeFi,Karura,karura,KAR,100000000
49,DeFi,Poketto,poketto,PKT,
50,AI,Tesra,tesra,TSR,10000000000
51,Lending,INLOCK,inlock,ILK,4400000000
52,DeFi,InstaDApp,instadapp,IDA,
53,Ethereum,SuperRare,superrare,RARE,1000000000
54,DeFi,XVIX,xvix,XVIX,177820
55,Marketplace,CryptoBossCoin,cryptobosscoin,CBC,23277.81
56,Exchange,CoinHe Token,coinhe-token,CHT,200000000
57,Blockchain Network,Flow,flow,FLOW,1368093963
