,token_ids,Artifact,Category,Eastern Resource,Eastern Resource Tier,Environment,Environment Tier,Koda,Northern Resource,Northern Resource Tier,Obelisk Piece,Plot,Sediment,Sediment Tier,Southern Resource,Southern Resource Tier,Western Resource,Western Resource Tier,block_timestamp,price_usd,koda_or_not
9,9,74,1,39,2,26,1,9992,51,2,1,-1.7788031347871245,0,0,74,0,74,0,-1.608439305268112,848284.198933863,0
10,10,74,1,74,0,17,0,9992,8,1,1,-1.7787684204093102,0,2,3,1,42,2,-1.608439305268112,706903.4991115525,0
12,12,74,1,74,0,16,2,9992,74,0,1,-1.7786989916536813,0,1,74,0,74,0,0.13899737413094806,455201.1917054355,0
16,16,74,3,73,3,3,2,9992,55,3,0,-1.778560134142424,0,1,74,0,74,0,0.13899737413094806,407886.3724959099,0
17,17,74,1,74,0,2,1,9992,74,0,0,-1.7785254197646096,0,0,3,3,74,0,0.13899737413094806,228416.3685977096,0
18,17,74,1,74,0,2,1,9992,74,0,0,-1.7785254197646096,0,0,3,3,74,0,-0.8092240798065264,109960.31141928508,0
25,24,18,3,31,2,23,1,9992,74,0,1,-1.7782824191199091,0,1,74,0,4,1,-1.5948932844975767,951428.9661200616,0
27,26,12,5,74,0,0,2,9992,39,2,1,-1.7782129903642803,0,0,51,3,74,0,-1.567801242956506,732116.4350574599,0
30,29,74,5,42,2,0,0,1239,12,3,1,-1.7781088472308373,0,1,42,3,47,1,0.13899737413094806,373623.9172062535,1
34,33,74,5,74,0,21,1,6450,29,3,1,-1.7779699897195798,0,2,47,2,51,2,-1.567801242956506,980065.7481835464,1
35,33,74,5,74,0,21,1,6450,29,3,1,-1.7779699897195798,0,2,47,2,51,2,-1.608439305268112,612735.1874265047,1
38,36,74,7,74,0,6,1,9992,32,2,1,-1.7778658465861368,0,0,74,0,74,0,-1.608439305268112,385573.4445554053,0
42,40,74,7,3,3,12,1,9992,74,0,1,-1.7777269890748792,0,0,74,0,74,0,-0.6060337682484962,148939.8502978335,0
51,49,74,2,74,0,14,1,9992,55,3,1,-1.77741455967455,0,0,74,0,74,0,-1.608439305268112,395865.9595024694,0
61,59,74,3,74,0,8,3,9992,74,0,1,-1.7770674158964066,0,0,73,3,74,0,-1.567801242956506,549731.2359287478,0
63,61,68,6,62,1,20,1,9992,74,0,1,-1.7769979871407777,0,0,47,2,74,0,-1.6219853260386474,477905.7935553306,0
68,66,21,7,74,0,15,3,9992,3,1,1,-1.776824415251706,0,0,27,2,74,0,-1.567801242956506,852665.7275769613,0
74,72,74,7,55,2,25,0,9992,74,0,1,-1.77661612898482,0,2,55,1,74,0,0.13899737413094806,117471.27527882208,0
79,77,43,2,73,1,14,4,9992,62,3,1,-1.776442557095748,0,2,42,2,51,1,-1.5000711391038293,312248.5034185198,0
80,77,43,2,73,1,14,4,9992,62,3,1,-1.776442557095748,0,2,42,2,51,1,-1.5948932844975767,568571.6644381149,0
89,86,24,3,51,3,28,1,9992,55,3,1,-1.776130127695419,0,2,36,3,42,1,-1.6219853260386474,314052.3786220744,0
92,89,74,6,32,1,18,0,4449,29,1,1,-1.7760259845619757,0,0,74,0,10,2,0.13899737413094806,122365.91174877298,1
101,98,43,3,51,2,3,0,9992,32,1,1,-1.7757135551616465,0,1,20,2,1,2,-0.13192304127975896,118202.10907731668,0
102,99,74,1,73,2,26,3,9992,39,2,1,-1.7756788407838322,0,0,74,0,73,1,0.13899737413094806,161523.00350838032,0
105,102,56,1,74,0,2,3,9992,74,0,1,-1.7755746976503892,0,1,47,2,36,2,-1.6219853260386474,305859.70787541155,0
108,105,74,5,74,0,11,2,9992,27,3,1,-1.775470554516946,0,1,74,0,74,0,-1.5813472637270414,305862.29364459246,0
110,107,74,6,74,0,27,0,9992,74,0,1,-1.7754011257613174,0,2,74,0,74,0,-1.5813472637270414,306140.60328394145,0
112,109,26,6,74,0,20,0,9992,74,0,1,-1.7753316970056887,0,2,74,0,74,0,-1.5948932844975767,288571.5482826613,0
142,139,74,1,31,3,26,1,9992,74,0,1,-1.7742902656712578,0,1,29,2,74,0,-1.608439305268112,279933.7856481748,0
143,139,74,1,31,3,26,1,9992,74,0,1,-1.7742902656712578,0,1,29,2,74,0,-1.608439305268112,139966.89282408738,0
144,140,74,3,73,3,8,0,9992,74,0,1,-1.7742555512934435,0,0,36,3,74,0,-1.0395064329056274,86479.44198805961,0
145,140,74,3,73,3,8,0,9992,74,0,1,-1.7742555512934435,0,0,36,3,74,0,-1.5813472637270414,275526.54295554734,0
147,142,74,2,66,2,4,0,9992,31,1,1,-1.7741861225378148,0,0,32,3,51,1,-1.5813472637270414,275526.54295554734,0
164,159,74,5,74,0,19,3,9992,74,0,1,-1.7735959781149708,0,2,48,3,27,2,0.08481329104880665,77800.227958879,0
