,token_ids,Trade Time,Price in USD
0,45921,2022-11-27T19:22:47.000Z,1627.972182719568
1,94279,2022-11-27T19:04:59.000Z,13767.218091865145
2,86632,2022-11-27T18:41:23.000Z,1627.972182719568
3,67666,2022-11-27T17:49:59.000Z,1628.5751353798346
4,94912,2022-11-27T17:36:23.000Z,1619.1389262466637
5,59934,2022-11-27T17:12:35.000Z,1555.617863487587
6,85472,2022-11-27T17:01:35.000Z,14470.86384639616
7,49467,2022-11-27T16:40:11.000Z,14892.930708582713
8,59935,2022-11-27T16:01:11.000Z,1555.617863487587
9,82726,2022-11-27T15:56:47.000Z,6463.6525180569515
10,49434,2022-11-27T15:49:47.000Z,1555.617863487587
11,93126,2022-11-27T15:06:35.000Z,16508.843838096953
12,48162,2022-11-27T15:04:11.000Z,2229.7189376655415
13,94672,2022-11-27T15:00:59.000Z,2411.8106410660266
14,93626,2022-11-27T14:59:11.000Z,2050.0390449061224
15,16970,2022-11-27T13:59:59.000Z,1642.5636370980176
16,2768,2022-11-27T12:55:35.000Z,3617.71596159904
17,74921,2022-11-27T11:06:23.000Z,1577.4447497892347
18,51090,2022-11-27T10:56:11.000Z,1549.588336884922
19,56129,2022-11-27T10:35:23.000Z,1596.9804159818696
20,58078,2022-11-27T09:36:11.000Z,1720.7063018685567
21,47380,2022-11-27T09:17:47.000Z,2773.5822372259304
22,79984,2022-11-27T09:07:35.000Z,13566.4348559964
23,47758,2022-11-27T06:53:47.000Z,1846.2410457360434
24,25823,2022-11-27T06:46:47.000Z,1579.7359698982475
25,76092,2022-11-27T06:33:47.000Z,1493.9246517181086
26,22166,2022-11-27T06:25:23.000Z,1555.617863487587
27,59900,2022-11-27T05:43:35.000Z,1543.5588102822571
28,58142,2022-11-27T05:22:23.000Z,1905.3304064421611
29,92056,2022-11-27T04:00:23.000Z,1544.8853061348432
30,23182,2022-11-27T03:17:47.000Z,1869.1532468261707
31,1186,2022-11-27T02:38:35.000Z,17123.855551568788
32,28932,2022-11-27T01:52:35.000Z,6029.526602665066
33,26055,2022-11-27T01:25:35.000Z,1567.6769166929173
34,77790,2022-11-27T00:22:47.000Z,4883.916548158703
35,98700,2022-11-27T00:21:11.000Z,1507.3816506662665
36,20442,2022-11-27T00:09:59.000Z,1567.6769166929173
37,65094,2022-11-27T00:00:35.000Z,1567.6769166929173
38,23459,2022-11-26T22:48:11.000Z,2368.101310311204
39,72568,2022-11-26T22:41:35.000Z,1654.673320622512
40,93043,2022-11-26T22:00:23.000Z,1492.8031044746576
41,51047,2022-11-26T21:14:35.000Z,1654.673320622512
42,1693,2022-11-26T20:58:23.000Z,3896.875573929829
43,62856,2022-11-26T20:30:47.000Z,1978.4137529182208
44,95395,2022-11-26T20:16:59.000Z,11750.5786536961
45,95331,2022-11-26T19:55:47.000Z,11796.621737400379
46,14249,2022-11-26T17:16:23.000Z,1557.5510710299357
47,51801,2022-11-26T17:06:35.000Z,1858.5098891049954
48,16974,2022-11-26T16:58:59.000Z,2146.2791622567365
49,54974,2022-11-26T16:57:11.000Z,1486.8079112839962
50,70921,2022-11-26T14:57:47.000Z,6286.799387455039
51,54357,2022-11-26T14:50:59.000Z,1498.7982976653188
52,24225,2022-11-26T13:48:35.000Z,1557.5511909337993
53,14849,2022-11-26T12:46:59.000Z,2398.07727626451
54,45922,2022-11-26T12:21:11.000Z,1582.7310023345767
55,25489,2022-11-26T10:43:35.000Z,10971.203538910135
56,98420,2022-11-26T10:32:23.000Z,1438.846365758706
57,58128,2022-11-26T09:41:59.000Z,1486.8079112839962
58,47352,2022-11-26T09:40:35.000Z,1438.846365758706
59,71729,2022-11-26T09:39:47.000Z,1474.8175249026738
60,77257,2022-11-26T07:02:23.000Z,2190.6435918676298
61,23046,2022-11-26T06:05:47.000Z,1426.8559793773834
62,52560,2022-11-26T05:33:11.000Z,2368.347113232021
63,78951,2022-11-26T05:21:23.000Z,1407.6713611672674
64,51915,2022-11-26T05:08:11.000Z,1438.846365758706
65,60946,2022-11-26T03:35:59.000Z,1888.3359752285353
66,94681,2022-11-26T00:37:35.000Z,2091.603000357906
67,2768,2022-11-26T00:12:23.000Z,3157.968013180827
68,68643,2022-11-25T22:50:11.000Z,6018.709879003364
69,63594,2022-11-25T22:26:35.000Z,1324.1161733807403
70,49372,2022-11-25T21:20:35.000Z,4574.219508042557
71,28307,2022-11-25T20:11:35.000Z,1901.9123217650633
72,20379,2022-11-25T18:59:47.000Z,2034.323939103137
73,1802,2022-11-25T18:55:59.000Z,5416.838891103028
74,48659,2022-11-25T18:19:59.000Z,2431.5587911173593
75,45512,2022-11-25T17:36:23.000Z,2226.922655231245
76,13487,2022-11-25T16:58:23.000Z,1432.4529512028007
77,78087,2022-11-25T16:29:11.000Z,1558.8458586618713
78,74395,2022-11-25T16:00:23.000Z,1396.3406919287804
79,84525,2022-11-25T15:46:35.000Z,1865.800062491043
80,74967,2022-11-25T14:59:11.000Z,1753.6113103464204
81,87371,2022-11-25T14:58:47.000Z,1578.8370035249811
82,50908,2022-11-25T13:13:35.000Z,1432.4529512028007
83,91856,2022-11-25T13:12:59.000Z,1396.3406919287804
84,17186,2022-11-25T11:17:35.000Z,14444.903709608076
85,47082,2022-11-25T11:04:47.000Z,1443.2234325312772
86,57768,2022-11-25T11:00:47.000Z,1443.2234325312772
87,47530,2022-11-25T10:50:47.000Z,1444.4903709608075
88,99731,2022-11-25T07:07:11.000Z,1389.4309120521907
89,13876,2022-11-25T06:54:47.000Z,2719.8549943216203
90,87888,2022-11-25T04:10:11.000Z,1564.8645685408749
91,87990,2022-11-25T03:20:11.000Z,1444.4903709608075
92,96062,2022-11-25T02:35:35.000Z,1383.099530194973
93,78437,2022-11-25T02:31:35.000Z,1.2037419758006729
94,47879,2022-11-25T02:21:59.000Z,10833.677782206056
95,57742,2022-11-25T02:15:35.000Z,1322.9124314049395
96,99085,2022-11-25T01:59:35.000Z,1579.309472250483
97,99085,2022-11-25T01:56:11.000Z,1579.429846448063
98,16966,2022-11-24T23:50:59.000Z,1953.15053173349
99,45284,2022-11-24T23:15:11.000Z,1361.286734238493
100,77365,2022-11-24T23:04:59.000Z,1349.4494582885932
101,47350,2022-11-24T22:30:35.000Z,1775.591392484991
102,91966,2022-11-24T22:20:47.000Z,1716.4050127354913
103,68853,2022-11-24T20:02:23.000Z,1367.205372213443
104,82191,2022-11-24T19:54:47.000Z,1384.961286138293
105,47378,2022-11-24T18:18:59.000Z,1489.1293144974125
106,48712,2022-11-24T16:55:11.000Z,1896.1629259916842
107,76318,2022-11-24T14:19:59.000Z,1349.4494582885932
108,99800,2022-11-24T13:26:11.000Z,4569.1885166613765
109,24177,2022-11-24T11:15:59.000Z,1598.0322532364921
110,89564,2022-11-24T10:14:35.000Z,1775.591392484991
111,89799,2022-11-24T10:03:23.000Z,1360.7046361936568
112,22861,2022-11-24T09:35:11.000Z,1538.8458734869923
113,25029,2022-11-24T07:55:47.000Z,1407.452110443103
114,16892,2022-11-24T07:37:23.000Z,4249.46369325458
115,92631,2022-11-24T06:47:59.000Z,1391.613835222137
116,64184,2022-11-24T06:16:59.000Z,1657.1002602264925
117,8069,2022-11-24T04:14:11.000Z,3610.6059102384797
118,64615,2022-11-24T04:05:35.000Z,1751.916840585191
119,86437,2022-11-24T03:34:11.000Z,1408.6358380380927
120,74659,2022-11-24T03:10:35.000Z,1438.4657734318407
121,1323,2022-11-24T03:00:59.000Z,3077.6917469739847
122,71128,2022-11-24T02:49:59.000Z,1857.987711053257
123,20367,2022-11-24T02:21:23.000Z,1657.2186329859915
124,89705,2022-11-24T01:02:59.000Z,1420.4731139879927
125,63525,2022-11-24T00:15:11.000Z,1413.7554598864247
126,81817,2022-11-23T22:44:47.000Z,1369.309525734691
127,22505,2022-11-23T22:43:59.000Z,1511.1853767292264
128,15728,2022-11-23T22:14:23.000Z,4940.639249299345
129,15625,2022-11-23T21:04:35.000Z,1690.039357001707
130,70823,2022-11-23T20:43:35.000Z,10222.01223992968
131,98322,2022-11-23T20:36:47.000Z,1379.9716523905067
132,90065,2022-11-23T20:27:11.000Z,1391.1022879406523
133,82225,2022-11-23T20:11:35.000Z,10133.989356752507
134,51303,2022-11-23T19:50:47.000Z,1369.9200070212426
135,84865,2022-11-23T19:49:23.000Z,1399.279897732596
136,98322,2022-11-23T18:07:11.000Z,1369.9200070212426
137,51200,2022-11-23T15:33:11.000Z,1817.246620431943
138,66373,2022-11-23T15:20:11.000Z,1476.5128791009538
139,77478,2022-11-23T15:11:23.000Z,2328.3472324284267
140,90065,2022-11-23T14:02:23.000Z,1388.3565418750934
141,25036,2022-11-23T13:12:59.000Z,5667.5378974721225
142,62866,2022-11-23T13:08:47.000Z,1389.089119418955
143,78337,2022-11-23T12:12:11.000Z,1389.089119418955
144,87972,2022-11-23T09:58:35.000Z,1385.6505480793564
145,50044,2022-11-23T09:46:23.000Z,1384.5147689415867
146,93295,2022-11-23T07:08:23.000Z,1839.9622031873423
147,78360,2022-11-23T06:24:23.000Z,1422.421397664659
148,49402,2022-11-23T05:57:23.000Z,9950.90601879366
149,67657,2022-11-23T05:38:35.000Z,1465.155087723254
150,75501,2022-11-23T05:30:23.000Z,1398.2576965086032
151,50040,2022-11-23T05:25:35.000Z,1372.0211984261168
152,67618,2022-11-23T05:16:59.000Z,1485.5991122031135
153,94253,2022-11-23T05:00:23.000Z,1465.155087723254
154,97499,2022-11-23T04:49:23.000Z,1465.155087723254
155,54743,2022-11-23T04:03:59.000Z,1976.255699719738
156,28644,2022-11-23T03:56:11.000Z,3395.979621932194
157,88970,2022-11-23T03:05:47.000Z,1465.155087723254
158,55449,2022-11-23T02:41:47.000Z,1465.155087723254
159,79362,2022-11-23T02:03:11.000Z,1465.155087723254
160,23545,2022-11-23T01:59:23.000Z,1474.6798167560282
161,85318,2022-11-23T00:44:23.000Z,3975.2269821948753
162,72308,2022-11-23T00:09:47.000Z,954.05447572677
163,47056,2022-11-23T00:08:11.000Z,954.05447572677
164,54910,2022-11-23T00:07:47.000Z,954.05447572677
165,59737,2022-11-23T00:06:23.000Z,954.05447572677
166,75495,2022-11-23T00:05:11.000Z,2441.3572566365388
167,66091,2022-11-23T00:04:11.000Z,954.05447572677
168,22767,2022-11-22T23:28:47.000Z,1706.1598455239598
169,84089,2022-11-22T23:24:35.000Z,1429.185844627213
170,76177,2022-11-22T23:15:47.000Z,1429.185844627213
171,83861,2022-11-22T22:37:23.000Z,1762.9007393476672
172,11373,2022-11-22T21:37:11.000Z,1429.185844627213
173,81337,2022-11-22T20:00:47.000Z,1429.185844627213
174,65416,2022-11-22T18:35:23.000Z,1606.4492052011308
175,69607,2022-11-22T17:50:35.000Z,2127.1603268870144
176,85911,2022-11-22T17:33:59.000Z,1429.185844627213
177,91426,2022-11-22T17:29:47.000Z,1453.0056087043333
178,24234,2022-11-22T15:01:23.000Z,1497.8753968496062
179,18467,2022-11-22T14:28:11.000Z,1471.9506303656706
180,96114,2022-11-22T14:12:35.000Z,1429.185844627213
181,53671,2022-11-22T13:54:59.000Z,2215.7920071739736
182,51332,2022-11-22T12:15:11.000Z,1435.140785646493
183,51786,2022-11-22T12:07:11.000Z,1362.7120844119938
184,80838,2022-11-22T11:55:47.000Z,1440.264804663083
185,24226,2022-11-22T11:45:35.000Z,1534.4359649679768
186,88971,2022-11-22T11:31:23.000Z,1440.264804663083
187,18185,2022-11-22T09:30:59.000Z,1551.0544050217813
188,16741,2022-11-22T09:24:59.000Z,1549.9465090181945
189,17638,2022-11-22T09:16:23.000Z,1510.062252889063
190,11152,2022-11-22T08:47:11.000Z,3600.662011657707
